Portfolio: PCA Portfolio 4

Portfolio Statistics:
Annual_Return                 0.163399
Annual_Volatility             0.108206
Sharpe_Ratio                  1.510075
Historical_VaR_Breach_Rate    0.793651
LSTM_VaR_Breach_Rate          4.761905
MonteCarlo_VaR_Breach_Rate    2.380952
Skewness                     -0.109665
Excess_Kurtosis               0.431822
Max_Drawdown                 -0.022813
VaR_95_Historical            -0.009798

Risk Metrics Summary:
Historical_VaR_Breach_Rate              0.793651
LSTM_VaR_Breach_Rate                    4.761905
MonteCarlo_VaR_Breach_Rate              2.380952
Avg_Historical_VaR                     -0.015960
Avg_Historical_ES                      -0.022658
Avg_LSTM_VaR                           -0.012309
Avg_LSTM_ES                            -0.015619
Avg_MonteCarlo_VaR                     -0.011284
Avg_MonteCarlo_ES                      -0.014301
LSTM_Prediction_MAE                     0.005986
LSTM_Prediction_MSE                     0.000063
LSTM_Prediction_Std                     0.002896
Actual_Returns_Std                      0.006816
LSTM_VaR_Coverage_Ratio                 0.952381
MonteCarlo_VaR_Coverage_Ratio           0.476190
Historical_VaR_Coverage_Ratio           0.158730
LSTM_ES_vs_Historical_ES_Ratio          0.689345
MonteCarlo_ES_vs_Historical_ES_Ratio    0.631171

Portfolio Composition:
       Stock    Weight  Risk_Contribution  Expected_Shortfall_Contribution  Weight_Percentage
AEP      AEP  0.001743       2.136603e-05                    -6.969832e-05           0.174281
IEX      IEX  0.001741       2.585431e-05                    -7.246571e-05           0.174136
IT        IT  0.001741       3.065881e-05                    -7.774152e-05           0.174068
RL        RL  0.001737       3.888268e-05                    -8.058355e-05           0.173685
AJG      AJG  0.001713       2.199161e-05                    -7.208080e-05           0.171279
A          A  0.001712       3.081591e-05                    -7.240666e-05           0.171205
DVN      DVN  0.001691       4.845462e-05                    -8.194846e-05           0.169099
EXPD    EXPD  0.001688       2.584744e-05                    -6.981465e-05           0.168804
PARA    PARA  0.001686       4.483867e-05                    -8.309951e-05           0.168581
JBL      JBL  0.001676       3.890373e-05                    -7.851383e-05           0.167630
HAL      HAL  0.001668       4.551643e-05                    -7.897549e-05           0.166808
GNRC    GNRC  0.001666       4.485021e-05                    -8.038677e-05           0.166602
OKE      OKE  0.001655       3.973013e-05                    -8.663677e-05           0.165469
BX        BX  0.001654       3.624839e-05                    -7.160942e-05           0.165400
IDXX    IDXX  0.001646       3.004763e-05                    -6.869721e-05           0.164613
WAT      WAT  0.001631       2.800739e-05                    -6.949869e-05           0.163117
ANSS    ANSS  0.001631       2.919245e-05                    -6.774664e-05           0.163095
PFG      PFG  0.001625       3.308295e-05                    -7.195229e-05           0.162467
